بزغاله بودن ، بهتر از حرامزاده بودن است	Ardalan	ardalanmusavi	UK			
آب من می آمد و من دستم به زیر هزار پرده مشکین مالیدم و مالامال شدم که مشکین بود و من نمی دیدم که من چشمانم را بسته بود او	Kutlas	Kutlas_e_Kabir	not-given			
چاکرتیم خستگی حواس نمی ذاره واسه آدم که	Kutlas	Kutlas_e_Kabir	not-given		@noonmiim	
چه رنجی میکشد آنکس که انسانست و از احساس سرشار	meysam bazrafshan	meysam_b1983	tehran			
رندان سلامت میکنند جان را غلامت میکنند مستی ز جامت میکنند مستان سلامت میکنند	meysam bazrafshan	meysam_b1983	tehran			
قاصدک ابرهای همه عالم شب و روز در دلم می گریند	meysam bazrafshan	meysam_b1983	tehran			
يکى ﺍﺯ ﺩﻻيلى که ﺩﻭﺱ ﺩﺍﺭﻡ ﺍﺯﺩﻭﺍﺝ کنم ﺍينه که ﻭﻗﺘی ﺷﺐ چراﻏﻮ ﺧﺎﻣﻮﺵ کردم يهو کلى فکر ﻭ ﺍيدﻩ ﺍﻭﻣﺪ ﺗﻮ ﺳﺮﻡ همسرﻣﻮ ﻣﺠﺒﻮﺭ کﻨﻢ بلند بشه، بنويسدشون ؟	DataVista	datavista	Iran			
مایکروسافت «اسکایپ» را هشت میلیارد و ۵۰۰ میلیون دلار خرید روز سه شنبه شرکت مایکروسافت با خریداری شرکت اینترنتی	DataVista	datavista	Iran			http://bit.ly/lxqaeT
زندگینامه بیل‌گیتس ویلیام هنری گیتس‌سوم، مشهور به بیل گیتس william henry gates iii رئیس و موسس شرکت مایکرو‌سا	DataVista	datavista	Iran			http://bit.ly/eNlLZo
ماهی از سر گندیده گردد نی ز دُم فتنه از عمامه خیزد نی ز خُم	Mahdi Motamed	motamed70	not-given			
تو خونه استرس موج میزنه،خیلی روز مهمیه امروز برامون	Misha	Mishhaa9	Tehran			
فکر بابا رو مشغول کردم آخی دلم سوخت	Misha	Mishhaa9	Tehran			
همه مون سرما خوردیم	Misha	Mishhaa9	Tehran			
اصن حسه امتحانم نمیاد،این ترم میرینم مطمئنم	Misha	Mishhaa9	Tehran			
بفرما گوش فیل و بامیه	Misha	Mishhaa9	Tehran			
نشد	elaheh	elahehhmehr	not-given	#fb		
کلا موقع سلام و خداحافظ می بینیمت	elaheh	elahehhmehr	not-given		@Hana_O_Hana	
همیشه همینطور است مدتی طول می کشد و بعد واقعا دیگر مهم نیست	elaheh	elahehhmehr	not-given			
ای بابا بازم که این سبزک‌ها شلوغ کردند توی رم کجا قراره راهپیمایی کنید؟؟؟	rend_ir	rend_ir	not-given			http://ff.im/xX1fU
باید خیلی کوتاه دو حس متضاد رو توی داستانت بیاری دو حس متضاد	rend_ir	rend_ir	not-given			
چه تفاهمی کلمه ها هم استاد می شه	rend_ir	rend_ir	not-given		@Sanjaghak	
فراخوان اشغال همزمان سبزه میدان ، گجیل و راستا کوچه در حمایت از جنبش وال استریت	علی	alimorsaliahari	not-given			
گوگل دات کام داخل ایران به لقا ا پیوست	علی	alimorsaliahari	not-given			
باغ مست و باغبان مست	علی	alimorsaliahari	not-given			
تنها یه ساعت تا شروع افتتاحیه مونده	Hossein	EistgaheAkhar	Iran,Tehran			
دلم ته دیگ میخواد	فلفلی	redchili2010	گوشه ای از آمریکای شمالی			
حواست هست که تو را من چشم در راهم ؟	Milad	mili_corleone	ShiRaz!			
اومدم کباب کنم صواب کردم	Milad	mili_corleone	ShiRaz!			
چي شده؟	maysam	maysam	Iran		@soheila_joon	
یک نگاره نو ای به فیس بوک بارگذار کردم	pouria turkaman	PouriaTurkaman	not-given			http://t.co/LY3kMFeP
پارس دیلی نیوز  شرکت نروژی «دت نورسکه وریتاس»تمام مناسبات خود را بارژیم ایران قطع کرد	amir masoud	amkmaac	not-given			http://t.co/NtSJUoBv
قدیما تو دهه ی هفتاد کانال هر هفته یه برنامه ای ساعت شب میزاشت به اسم سینمای دیگر با اینکه سوم دبستان بودم خیلی باهاش حال می کردم	ℬαbαк 	Babak_De	Shiraz			
فیس بوک مدیون توییتر است	ℬαbαк 	Babak_De	Shiraz			
اگر فکر می کنی که من به همان چیزی فکر میکنم که تو هم فکر می کنی ، بسیار فکر منحرفی داری	ℬαbαк 	Babak_De	Shiraz			
مركز إسرائيلي يهدد تويتر لاحتوائه حسابات لـ حزب الله صدى صيدا via	SADASAIDA	sadasaida	Lebanon		@SadaSaida	http://t.co/PYOJJYIK
قوى الامن لعدم ارتكاب مخالفات السير ليلة راس السنة والقيادة بتأن وروية صدى صيدا via	SADASAIDA	sadasaida	Lebanon		@SadaSaida	http://t.co/gWd6V5Yi
راستي آنجا هم هر كس و ناكس خداست؟	MohaMMad M	MohaMMad_twitt	not-given			
روش ۵۰ ورقهای جزوه ۳۰۰ صفحه‌ای دوستتون که ازش گرفتین زیراکس کنین رو قاطی‌پاتی بذارین، یه بر هم بزنین، بعد بهش پس بدین	MohaMMad M	MohaMMad_twitt	not-given			
روش ۳۵ نصف شبها با صدای بلند توی خواب حرف بزنین	MohaMMad M	MohaMMad_twitt	not-given			
روش ۲۱ صابون رو همیشه کف وان حمام جا بذارین	MohaMMad M	MohaMMad_twitt	not-given			
با یه اعتراض خاصی در حالی که این د گتو میخونم سلانه سلانه دی اکتیو میکنم	hasti 	hastaloo	not-given			
من اصن کوچه نمی‌رفتم ‌امیر ول بود اونجا من میشستم خونه میکرو بازی می‌کردم	n4Cr	n4Cr	not-given		@Taiwanii	
بله و امشب به ناگاه شب بسیار خوبی شد و شما چه دانید که من چه گویم	n4Cr	n4Cr	not-given			
دمش گرم	kambiz barahouei	barahouei	not-given			
دمش گرم خوب شروع کرد الان دیگه چیز	kambiz barahouei	barahouei	not-given			
ما رو باش تعطيلي داريم برنامه نداريم	hadijalildoust	hadijalildoust	not-given			
الان نميشه خوابيد هي فكر كن	hadijalildoust	hadijalildoust	not-given			
من نمیدونم چی گوش بدم	hadijalildoust	hadijalildoust	not-given			
من هادی هستم کسی من درک میکنه؟	hadijalildoust	hadijalildoust	not-given			
وربي كلامك عسل يااخوي مشاري وع فكره اناا كويتي بس البدون اخواني ولك احترامي والتحيه 👍	محمد الشمري	mjhool666	not-given		@Masharialeyada	
دستگیرش کن	Hasan Bardal	HasanBardal	Iran		@parvin_1368	
یافت می‌شود آیا؟	Hasan Bardal	HasanBardal	Iran		@shahabAbroshan	
بعـــــــــــــــــــــــــــــــــله ، اینجوریاست	Hasan Bardal	HasanBardal	Iran			
سوتينش رو از تي شرتش در اورد ، گفت شب به خير بعدم خوابيد ، مي خواستم بگم ار يو كيدينگ مي؟	Zadsrav Ashkani	zadsarv	Tehran			
ديشب هم واسه خودش تجربه جديدي بود ، دلارام بر نگشت دبي اومد هتل پيش من خوابيد ، تو يك تخت خوابيديم خيلي سيويل، دست هم به هم نزديم	Zadsrav Ashkani	zadsarv	Tehran			
تو قرقیزستان نفر مردن، دولت عوض شد؛تو تایلند نفر مردن،ارتش عقب نشست تو ایران بیشتر از نفر مردن ولی تازه میگن فتنه آغاز شد وقاحت	mahdy	mahdy61	zolmestan			
اون هارده که همه فیلما روش بود	Pardis Zare	PardisZare	not-given		@Mahsach.....نگو	
اهان گرفنم d	Pardis Zare	PardisZare	not-given		@PardisZare,@mona_mona_mona_	
ليش معصب	Salahebrahim	Buebrahim2011	not-given		@J_Ashabi	
مسرحياتكم بايخه وفاشلة مللنا من تكرارها، العبوا غيرها	Salahebrahim	Buebrahim2011	not-given		@iFattema	
ومهدي كروبي ومحمد خاتمي ورفسنجاني وغيرهما من الاشخاص الذين يراد تصفيتهم، او سجنهم كما فعلو بحسين منتظري، ايران بها فساد يوازي	Salahebrahim	Buebrahim2011	not-given		@JasemMurad	
رهایی   انتقال فعال کارگری به دادگاه و ضرب و شتم وی تو	Sara Irani	Sara_Irani61	not-given			http://t.co/dFPSSGv
خوابمون گرفت	mehrdad	mehrdad_agg	not-given			
ریدم تو اون مملکتی که تو سینماش رو تیتراژ شیش و هشت فیلم ملت دس می زنن	Amin	Aminusf	Esfahan			
اقا سیگارم گرون شده به جان خودم پرسیدم چرا؟گفت اوضاع دلار گیجه	Amin	Aminusf	Esfahan			
یکی از آرزوهای کودکیم این بود که راننده ترانزیت باشم و شبونه بزنم به دل کویر	shahrouz kabiri	shahrouz_kabiri	Iran			
شت مخ منم	shahrouz kabiri	shahrouz_kabiri	Iran			
تولد اولين بالاهزار مبارك	Parsa	IDionysus	OLDHAM			
تورگالری معرفی مقصد آنتالیا	tour gallery	tourgallery1	iran			http://t.co/2IxwHGkW
تعطیلات در ماه ماجراجویی فضایی این شانس را به شما می دهد تا به یک ماموریت بروید اما این ماموریت نه کاری ست نه	tour gallery	tourgallery1	iran			http://fb.me/MLWwP4Ga
رویایی ترین پایتخت جهان اینجا ماله پایتخت کشور مالدیو است کشوری که احتمالا به گفته دانشمندان تا قرن بعدی به زیر	tour gallery	tourgallery1	iran			http://fb.me/Fu5ovOGk
نام من را پدرم، نام خانوادگي ام را پدر بزرگم و سرنوشتم را خودم انتخاب کردم گاندي	z_moghimi	zeinabmoghimi	not-given			
دلم تا ته آبی دریا می خواهد	z_moghimi	zeinabmoghimi	not-given			
هرچه را بجویید همان را می یابید	z_moghimi	zeinabmoghimi	not-given			
ظهر عاشورا واقعا چه چیزیست گمشدگانیم	z_moghimi	zeinabmoghimi	not-given			
ادم هایی که همدیگر را دوست دا رند همدیگر را می بینند مهم نیست چقدر از هم دورباشند سر انجام پیش هم بر می گردند	z_moghimi	zeinabmoghimi	not-given			
برم چنتاا زامبی بکشم	یاوه گو	Yaveh_gou	not-given			
بعدش یه کاری دارم اینجاا نمیتونم بگم دی	یاوه گو	Yaveh_gou	not-given			
کلد استاپ عزیز دل من است	Mehrnaz Y	schizoph90	شیراز			
هیچ نداره اینجا واقعا	Mehrnaz Y	schizoph90	شیراز			
آمریکا در مورد توطئه‌ی ترور سفیر عربستان با ایران تماس مستقیم داشته‌ایم	Naader Seyfi	Naader_Seyfi	not-given			http://t.co/TCNSSJro
معاون سیاسی دفتر ریاست جمهوری احمدی‌نژاد در آینده‌ی نزدیک افشاگری خواهد کرد	Naader Seyfi	Naader_Seyfi	not-given			http://t.co/CrSsxad7
میر حسین به قصد همراهی با راهپیمایان از منزل خود خارج شد	sasha	samsatalaii	not-given			
مبادا ناامید بشین ما همونهاییم که مغول‌ها را آدم کردیم اینا که سهل اند باید کفش سنگی‌ بپوشیم و راه بیفتیم	sasha	samsatalaii	not-given			
بزرگداشت شهدای برخوردهای خشونت طلبانه اخیر، امروز در میدان امام خمینی	sasha	samsatalaii	not-given			
دلایل فوری برای ترک سیگار بوی بد دهان و لك شدن دندان‌ها بوی نامطبوع در لباس، مو و پوست كم شدن توانایی pic	sahar	saharmohammadi5	not-given			http://ff.im/Hi13O
ای کاش من جای این بودم pic	sahar	saharmohammadi5	not-given			http://ff.im/Gark1
کی هستش حالا	Mohsen pooladi	MPooladi	not-given		@EXTREMEHRAN	
نمیشه ایجا چیزی آپلود کرد ملت ببیند	Mohsen pooladi	MPooladi	not-given			
منم که کلن از مرور خاطرات چندان دل خوشم نمی‌اد حالا اگه یه خاطره‌ای خودش اومد هیچی، ولی من سراغش نمی‌رم	Alireza Banijani	AlirezaBanijani	Tehran		@HamedNH	
دلم نمیخوات بخوابم ولی مجبورم	Taregh Shabibi	taaregh	not-given			
امروز دقیقا به گااااااااااااااااااااااااااا رفتم، تازه شب هم تا صبح باید بیدار باشم	Taregh Shabibi	taaregh	not-given			
